source,target,weight
5,8,2.0
8,3778,2.0
16,15,2.0
23,8,2.0
23,29,36.0
23,116,2.0
23,150,44.0
23,208,7.0
23,234,2.0
23,312,8.0
23,380,2.0
23,499,30.0
23,510,3.0
23,580,4.0
23,634,2.0
23,700,6.0
23,704,27.0
23,707,5.0
23,720,12.0
23,756,2.0
23,760,2.0
23,773,4.0
23,810,2.0
23,850,5.0
23,990,3.0
23,1126,23.0
23,1571,2.0
23,1646,2.0
23,1673,6.0
23,1827,2.0
23,1840,7.0
23,2080,2.0
23,2090,4.0
23,2095,2.0
23,2117,2.0
23,2119,4.0
23,2146,4.0
23,2169,10.0
23,2247,4.0
23,2326,2.0
23,2370,2.0
23,2379,2.0
23,2418,4.0
23,2444,2.0
23,2453,2.0
23,2462,6.0
23,2473,6.0
23,2503,4.0
23,2523,5.0
23,2525,10.0
23,2531,4.0
23,2539,2.0
23,2543,2.0
23,2548,2.0
23,2569,4.0
23,2579,2.0
23,2588,4.0
23,2593,5.0
23,2611,2.0
23,2613,5.0
23,2614,2.0
23,2617,4.0
23,2620,2.0
23,2621,2.0
23,2624,4.0
23,2626,4.0
23,2633,7.0
23,2634,2.0
23,2642,6.0
23,2647,5.0
23,2649,5.0
23,2670,6.0
23,2680,4.0
23,2698,2.0
23,2699,2.0
23,2707,4.0
23,2789,12.0
23,2798,6.0
23,2805,6.0
23,2843,2.0
23,2884,2.0
23,2885,4.0
23,2898,2.0
23,2928,2.0
23,2997,4.0
23,3026,2.0
23,3044,2.0
23,3054,2.0
23,3055,4.0
23,3171,8.0
23,3338,4.0
23,3339,4.0
23,3478,2.0
23,3793,2.0
29,23,38.0
29,53,29.0
29,61,7.0
29,63,2.0
29,64,5.0
29,66,4.0
29,78,8.0
29,82,2.0
29,103,5.0
29,137,4.0
29,138,37.0
29,143,6.0
29,145,7.0
29,150,93.0
29,152,2.0
29,153,10.0
29,164,22.0
29,165,5.0
29,166,2.0
29,182,5.0
29,199,3.0
29,203,5.0
29,205,10.0
29,208,5.0
29,218,9.0
29,262,6.0
29,265,3.0
29,276,2.0
29,332,3.0
29,472,4.0
29,474,2.0
29,499,98.0
29,508,106.0
29,583,2.0
29,700,3.0
29,740,2.0
29,746,2.0
29,747,2.0
29,786,5.0
29,810,14.0
29,846,3.0
29,847,3.0
29,871,3.0
29,909,5.0
29,926,9.0
29,953,5.0
29,954,3.0
29,960,6.0
29,981,5.0
29,987,2.0
29,996,3.0
29,998,3.0
29,1005,3.0
29,1007,2.0
29,1028,7.0
29,1051,5.0
29,1056,2.0
29,1157,4.0
29,1269,4.0
29,1294,31.0
29,1401,4.0
29,1407,5.0
29,1620,18.0
29,1631,5.0
29,1660,2.0
29,1668,2.0
29,1672,7.0
29,1673,5.0
29,1677,4.0
29,1678,2.0
29,1681,4.0
29,1697,7.0
29,1701,2.0
29,1707,4.0
29,1708,4.0
29,1714,4.0
29,1719,2.0
29,1720,3.0
29,1723,8.0
29,1724,7.0
29,1728,7.0
29,1736,4.0
29,1737,2.0
