id,label,user_id,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,pagerank,clustering_coefficient,eigenvector_centrality
0,youcefzemmar,93142224,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
1,Ravant2005,232997304,8.250825082508251e-05,1,0,0.0,0.0,0.00011348141639349634,0.0,0.0
2,luvsharma6342,37564617,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
3,JosefVacha,69599105,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
4,Mahesh-Menariya,287289287,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
5,deypartha,156651421,0.00033003300330033004,3,1,1.2255723014123495e-07,0.00022002200220022002,0.00013246785427992413,0.0,0.0
6,Kalyaninelogi2006,283562890,8.250825082508251e-05,1,0,0.0,0.0,0.000116177839360112,0.0,0.002422725566956529
7,leandro-costa-oliveira,6571331,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
8,binarykitchen,177641,0.0006600660066006601,7,1,6.254154199799145e-06,0.00016501650165016502,0.0003170935533891847,0.39285714285714285,0.00441269226379518
9,Mohammad-Faiz-Cloud-Engineer,205180664,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
10,jesustorres-code,262010461,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
11,snehil002,88778723,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
12,charliesheh,59520443,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
13,sheytoonch,83016208,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
14,tejgokani,170429106,0.00016501650165016502,2,0,0.0,0.0,0.00011631451439127355,0.0,0.00015930768583300822
15,testuzerz123,285229587,0.0005775577557755776,7,0,0.0,0.0,0.0005204822161429733,0.19047619047619047,0.011833162781497637
16,sreedarsan0311,229950077,0.00016501650165016502,1,1,0.0,0.00016501650165016502,0.0001128633709083068,1.0,0.0
17,vfuriouz7-gif,285190169,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
18,notone1246-blip,285273515,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
19,Ritesh-453,227159132,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
20,MD-Mushfiqur123,206438734,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
21,dharaneechinnu,117936700,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
22,moaedy,257661404,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
23,blakeembrey,1088987,0.009488448844884489,24,91,0.0026303487925850135,0.27065223148570483,0.001334072852388077,0.030025020850708923,0.14738908219524507
24,rmotgi1227,221916188,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
25,hb20007,8860322,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
26,raashish1601,94279692,8.250825082508251e-05,1,0,0.0,0.0,0.0001133931241813264,0.0,0.0
27,marlug,84084773,8.250825082508251e-05,1,0,0.0,0.0,0.0001131282475448166,0.0,0.0
28,fredww12,283268287,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
29,jonchurch,12915163,0.010808580858085809,27,104,0.0035056990421043067,0.2745834575257924,0.00177426553603811,0.027823691460055096,0.2579256539594731
30,Pranavkok,176228497,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
31,mixelburg,52622705,8.250825082508251e-05,1,0,0.0,0.0,0.00011392287745434601,0.0,0.0
32,shivarm,91419219,0.0024752475247524753,10,20,6.967949254656984e-05,0.19931289659873222,0.00046912671687314195,0.16666666666666666,0.15386944066311348
33,kuishou68,54054995,8.250825082508251e-05,1,0,0.0,0.0,0.00011348141639349634,0.0,0.0
34,oldregime,62534836,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
35,virus-16,128878088,8.250825082508251e-05,1,0,0.0,0.0,0.00011330483196915647,0.0,0.0
36,dependabot[bot],49699333,0.0005775577557755776,7,0,0.0,0.0,0.0009926907045420034,0.5238095238095238,0.3134576460011413
37,IKBASYSTEMS,274495320,8.250825082508251e-05,1,0,0.0,0.0,0.00011303995533264668,0.0,0.0
38,orbisai0security,242526317,0.00016501650165016502,2,0,0.0,0.0,0.00011661930042096167,1.0,0.002422725566956529
39,To-be-w1th0ut,186084046,8.250825082508251e-05,1,0,0.0,0.0,0.0001128633709083068,0.0,0.0
40,walle250ai,198962750,0.00016501650165016502,2,0,0.0,0.0,0.00012671263504581925,0.0,0.0
41,Jah-yee,166608075,8.250825082508251e-05,1,0,0.0,0.0,0.00011348141639349634,0.0,0.0
42,zilvya,111423982,8.250825082508251e-05,1,0,0.0,0.0,0.00011418775409085581,0.0,0.0
